case_id,pipeline_id,complexity_stratum,multiplier,base_gold_cut_set,scaled_gold_cut_set,base_fuzzyxai_cut,scaled_fuzzyxai_cut,base_baseline_cut,scaled_baseline_cut,base_membership_fuzzyxai,scaled_membership_fuzzyxai,base_membership_baseline,scaled_membership_baseline,base_optimal_cost,scaled_optimal_cost,base_predicted_cost,scaled_predicted_cost,base_baseline_predicted_cost,scaled_baseline_predicted_cost,base_normalized_regret,scaled_normalized_regret,base_baseline_normalized_regret,scaled_baseline_normalized_regret,base_raw_regret,scaled_raw_regret,base_baseline_raw_regret,scaled_baseline_raw_regret,base_cost_registry_sha256,cost_registry_sha256,gold_unchanged,fuzzyxai_cut_unchanged,baseline_cut_unchanged,membership_unchanged,normalized_regret_unchanged,raw_regret_scaled
h10-c3:protocol_validation:image-quality:00548,image-quality,S3,10.0,"[[""optimal-pair-01"", ""optimal-pair-23""]]","[[""optimal-pair-01"", ""optimal-pair-23""]]","[""optimal-pair-01"", ""optimal-pair-23""]","[""optimal-pair-01"", ""optimal-pair-23""]","[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,4.0,40.0,4.0,40.0,4.5,45.0,0.0,0.0,0.125,0.125,0.0,0.0,0.5,5.0,531606cdde75b857a5a913c59246a1ba51aee92fb04daa8d070edf069707d520,3b10a07b0351678e10458c7d7803cdd86e93ef817c4d07f189b3ecfeacec4d53,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00548,image-quality,S3,100.0,"[[""optimal-pair-01"", ""optimal-pair-23""]]","[[""optimal-pair-01"", ""optimal-pair-23""]]","[""optimal-pair-01"", ""optimal-pair-23""]","[""optimal-pair-01"", ""optimal-pair-23""]","[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,4.0,400.0,4.0,400.0,4.5,450.0,0.0,0.0,0.125,0.125,0.0,0.0,0.5,50.0,531606cdde75b857a5a913c59246a1ba51aee92fb04daa8d070edf069707d520,fd1135a3fa82edd34e9b5705a4e3aa97b88deaba1d9ae84ffd18daf25780fc56,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00549,image-quality,S4,0.01,"[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[""alternative-global-b""]","[""alternative-global-b""]","[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,4.0,0.04,4.0,0.04,4.5,0.045,0.0,0.0,0.125,0.125,0.0,0.0,0.5,0.005,4e874e33c5bda8c49d00dc3f301ff6dc684d8b5beb7d04be32a2302e8f3475fe,9829ca30f2efbccd956429eb6e9f658a6f616376fa4b42c6edbb8fd1cb3d6b19,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00549,image-quality,S4,0.1,"[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[""alternative-global-b""]","[""alternative-global-b""]","[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,4.0,0.4,4.0,0.4,4.5,0.45,0.0,0.0,0.125,0.125,0.0,0.0,0.5,0.05,4e874e33c5bda8c49d00dc3f301ff6dc684d8b5beb7d04be32a2302e8f3475fe,a0de4445f5f32c762fd5fb2487be417c858f08fc06a37e4b274234507c5dd9a8,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00549,image-quality,S4,0.8,"[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[""alternative-global-b""]","[""alternative-global-b""]","[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,4.0,3.2,4.0,3.2,4.5,3.6,0.0,0.0,0.125,0.125,0.0,0.0,0.5,0.4,4e874e33c5bda8c49d00dc3f301ff6dc684d8b5beb7d04be32a2302e8f3475fe,bc8cded76933a6dcf7296e85463e500c488f7c17ce1df2c9178d1b79daa5ba97,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00549,image-quality,S4,1.0,"[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[""alternative-global-b""]","[""alternative-global-b""]","[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,4.0,4.0,4.0,4.0,4.5,4.5,0.0,0.0,0.125,0.125,0.0,0.0,0.5,0.5,4e874e33c5bda8c49d00dc3f301ff6dc684d8b5beb7d04be32a2302e8f3475fe,cebdb5a9cfd660b64e924888267967119fe37c01963ddddb1179b88d42c8b31d,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00549,image-quality,S4,1.2,"[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[""alternative-global-b""]","[""alternative-global-b""]","[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,4.0,4.8,4.0,4.8,4.5,5.4,0.0,0.0,0.125,0.125,0.0,0.0,0.5,0.6,4e874e33c5bda8c49d00dc3f301ff6dc684d8b5beb7d04be32a2302e8f3475fe,4e772da8371e6ff1e5f0ff83fd6fbbdf905bb602df8eb08fbd961b754d8314be,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00549,image-quality,S4,10.0,"[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[""alternative-global-b""]","[""alternative-global-b""]","[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,4.0,40.0,4.0,40.0,4.5,45.0,0.0,0.0,0.125,0.125,0.0,0.0,0.5,5.0,4e874e33c5bda8c49d00dc3f301ff6dc684d8b5beb7d04be32a2302e8f3475fe,509ab1df8fda176841dd485094e536b3689f24506febac065cb1fc5e6732355c,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00549,image-quality,S4,100.0,"[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[""alternative-global-b""]","[""alternative-global-b""]","[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,4.0,400.0,4.0,400.0,4.5,450.0,0.0,0.0,0.125,0.125,0.0,0.0,0.5,50.0,4e874e33c5bda8c49d00dc3f301ff6dc684d8b5beb7d04be32a2302e8f3475fe,68a80250a09b3273d880a2263c73ef84b361553cec46ff1f709e0fc6402a8472,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00550,image-quality,S4,0.01,"[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[""alternative-global-b""]","[""alternative-global-b""]","[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,4.0,0.04,4.0,0.04,4.5,0.045,0.0,0.0,0.125,0.125,0.0,0.0,0.5,0.005,4e874e33c5bda8c49d00dc3f301ff6dc684d8b5beb7d04be32a2302e8f3475fe,9829ca30f2efbccd956429eb6e9f658a6f616376fa4b42c6edbb8fd1cb3d6b19,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00550,image-quality,S4,0.1,"[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[""alternative-global-b""]","[""alternative-global-b""]","[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,4.0,0.4,4.0,0.4,4.5,0.45,0.0,0.0,0.125,0.125,0.0,0.0,0.5,0.05,4e874e33c5bda8c49d00dc3f301ff6dc684d8b5beb7d04be32a2302e8f3475fe,a0de4445f5f32c762fd5fb2487be417c858f08fc06a37e4b274234507c5dd9a8,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00550,image-quality,S4,0.8,"[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[""alternative-global-b""]","[""alternative-global-b""]","[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,4.0,3.2,4.0,3.2,4.5,3.6,0.0,0.0,0.125,0.125,0.0,0.0,0.5,0.4,4e874e33c5bda8c49d00dc3f301ff6dc684d8b5beb7d04be32a2302e8f3475fe,bc8cded76933a6dcf7296e85463e500c488f7c17ce1df2c9178d1b79daa5ba97,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00550,image-quality,S4,1.0,"[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[""alternative-global-b""]","[""alternative-global-b""]","[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,4.0,4.0,4.0,4.0,4.5,4.5,0.0,0.0,0.125,0.125,0.0,0.0,0.5,0.5,4e874e33c5bda8c49d00dc3f301ff6dc684d8b5beb7d04be32a2302e8f3475fe,cebdb5a9cfd660b64e924888267967119fe37c01963ddddb1179b88d42c8b31d,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00550,image-quality,S4,1.2,"[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[""alternative-global-b""]","[""alternative-global-b""]","[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,4.0,4.8,4.0,4.8,4.5,5.4,0.0,0.0,0.125,0.125,0.0,0.0,0.5,0.6,4e874e33c5bda8c49d00dc3f301ff6dc684d8b5beb7d04be32a2302e8f3475fe,4e772da8371e6ff1e5f0ff83fd6fbbdf905bb602df8eb08fbd961b754d8314be,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00550,image-quality,S4,10.0,"[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[""alternative-global-b""]","[""alternative-global-b""]","[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,4.0,40.0,4.0,40.0,4.5,45.0,0.0,0.0,0.125,0.125,0.0,0.0,0.5,5.0,4e874e33c5bda8c49d00dc3f301ff6dc684d8b5beb7d04be32a2302e8f3475fe,509ab1df8fda176841dd485094e536b3689f24506febac065cb1fc5e6732355c,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00550,image-quality,S4,100.0,"[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[[""alternative-global-a""], [""alternative-global-b""], [""optimal-pair-01"", ""optimal-pair-23""]]","[""alternative-global-b""]","[""alternative-global-b""]","[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,4.0,400.0,4.0,400.0,4.5,450.0,0.0,0.0,0.125,0.125,0.0,0.0,0.5,50.0,4e874e33c5bda8c49d00dc3f301ff6dc684d8b5beb7d04be32a2302e8f3475fe,68a80250a09b3273d880a2263c73ef84b361553cec46ff1f709e0fc6402a8472,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00551,image-quality,S5,0.01,"[[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]]","[[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]]","[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]","[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,6.0,0.06,6.0,0.06,6.5,0.065,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.5,0.005,35b969115d9a339dcab9f0e3b4aa9fd7c7fb4a2d98f1abb748a225bed9a8bdb0,b0c6dcba8b4a7e8a54026d4ad34d57648c096cf59cae8055d033581b90df53a9,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00551,image-quality,S5,0.1,"[[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]]","[[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]]","[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]","[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,6.0,0.6,6.0,0.6000000000000001,6.5,0.65,0.0,1.6666666666666665e-16,0.08333333333333333,0.08333333333333333,0.0,1e-16,0.5,0.05,35b969115d9a339dcab9f0e3b4aa9fd7c7fb4a2d98f1abb748a225bed9a8bdb0,769d93d9693046231bb09c1b0d28af79cd3a5b426ceba99982eb8079fe8ded1b,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00551,image-quality,S5,0.8,"[[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]]","[[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]]","[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]","[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,6.0,4.8,6.0,4.800000000000001,6.5,5.2,0.0,2.0833333333333332e-16,0.08333333333333333,0.08333333333333333,0.0,1e-15,0.5,0.4,35b969115d9a339dcab9f0e3b4aa9fd7c7fb4a2d98f1abb748a225bed9a8bdb0,4c03ddef543ba52b30758725621bdc69941804c39f8775e3452ad421f4ec563b,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00551,image-quality,S5,1.0,"[[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]]","[[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]]","[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]","[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,6.0,6.0,6.0,6.0,6.5,6.5,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.5,0.5,35b969115d9a339dcab9f0e3b4aa9fd7c7fb4a2d98f1abb748a225bed9a8bdb0,7850439d11027397ff2cd703c51cebdd4a8ed259bd832a399064b48e8db3fcea,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00551,image-quality,S5,1.2,"[[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]]","[[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]]","[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]","[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,6.0,7.2,6.0,7.199999999999999,6.5,7.8,0.0,-1.388888888888889e-16,0.08333333333333333,0.08333333333333333,0.0,-1e-15,0.5,0.6,35b969115d9a339dcab9f0e3b4aa9fd7c7fb4a2d98f1abb748a225bed9a8bdb0,1957e5f4ff8090f5705b3a6e7d49054d55622808a2da263dd6c9f03c5d4bb786,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00551,image-quality,S5,10.0,"[[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]]","[[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]]","[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]","[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,6.0,60.0,6.0,60.0,6.5,65.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.5,5.0,35b969115d9a339dcab9f0e3b4aa9fd7c7fb4a2d98f1abb748a225bed9a8bdb0,fd7f60da36c0fc09778f5b865f44cbc9bb582d3f7433d075049ca7a0067f2394,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00551,image-quality,S5,100.0,"[[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]]","[[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]]","[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]","[""fallback-known-4"", ""optimal-pair-01"", ""optimal-pair-23""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]","[""fallback-known-4"", ""greedy-global-023"", ""greedy-single-1""]",True,True,False,False,6.0,600.0,6.0,600.0,6.5,650.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.5,50.0,35b969115d9a339dcab9f0e3b4aa9fd7c7fb4a2d98f1abb748a225bed9a8bdb0,39691462eeb8ea4dc147b88cb1c359963571aa49c1a2d5954d31e60a7c6613a6,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00552,image-quality,S5,0.01,[],[],[],[],"[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",False,False,False,False,,,0.0,0.0,4.5,0.045,0.0,0.0,0.0,0.0,,,,,35b969115d9a339dcab9f0e3b4aa9fd7c7fb4a2d98f1abb748a225bed9a8bdb0,b0c6dcba8b4a7e8a54026d4ad34d57648c096cf59cae8055d033581b90df53a9,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00552,image-quality,S5,0.1,[],[],[],[],"[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",False,False,False,False,,,0.0,0.0,4.5,0.45,0.0,0.0,0.0,0.0,,,,,35b969115d9a339dcab9f0e3b4aa9fd7c7fb4a2d98f1abb748a225bed9a8bdb0,769d93d9693046231bb09c1b0d28af79cd3a5b426ceba99982eb8079fe8ded1b,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00552,image-quality,S5,0.8,[],[],[],[],"[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",False,False,False,False,,,0.0,0.0,4.5,3.6,0.0,0.0,0.0,0.0,,,,,35b969115d9a339dcab9f0e3b4aa9fd7c7fb4a2d98f1abb748a225bed9a8bdb0,4c03ddef543ba52b30758725621bdc69941804c39f8775e3452ad421f4ec563b,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00552,image-quality,S5,1.0,[],[],[],[],"[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",False,False,False,False,,,0.0,0.0,4.5,4.5,0.0,0.0,0.0,0.0,,,,,35b969115d9a339dcab9f0e3b4aa9fd7c7fb4a2d98f1abb748a225bed9a8bdb0,7850439d11027397ff2cd703c51cebdd4a8ed259bd832a399064b48e8db3fcea,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00552,image-quality,S5,1.2,[],[],[],[],"[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",False,False,False,False,,,0.0,0.0,4.5,5.4,0.0,0.0,0.0,0.0,,,,,35b969115d9a339dcab9f0e3b4aa9fd7c7fb4a2d98f1abb748a225bed9a8bdb0,1957e5f4ff8090f5705b3a6e7d49054d55622808a2da263dd6c9f03c5d4bb786,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00552,image-quality,S5,10.0,[],[],[],[],"[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",False,False,False,False,,,0.0,0.0,4.5,45.0,0.0,0.0,0.0,0.0,,,,,35b969115d9a339dcab9f0e3b4aa9fd7c7fb4a2d98f1abb748a225bed9a8bdb0,fd7f60da36c0fc09778f5b865f44cbc9bb582d3f7433d075049ca7a0067f2394,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00552,image-quality,S5,100.0,[],[],[],[],"[""greedy-global-023"", ""greedy-single-1""]","[""greedy-global-023"", ""greedy-single-1""]",False,False,False,False,,,0.0,0.0,4.5,450.0,0.0,0.0,0.0,0.0,,,,,35b969115d9a339dcab9f0e3b4aa9fd7c7fb4a2d98f1abb748a225bed9a8bdb0,39691462eeb8ea4dc147b88cb1c359963571aa49c1a2d5954d31e60a7c6613a6,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00553,image-quality,S1,0.01,"[[""direct-0""]]","[[""direct-0""]]","[""direct-0""]","[""direct-0""]","[""direct-0""]","[""direct-0""]",True,True,True,True,1.0,0.01,1.0,0.01,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9f706d4c9b609d1a10899d7813036cb4a22ae9a056ef95f0fa58a798d145c462,5d14b3b31ce113110c6ea2fc0ab058cdb066c7d391585b1dbdcaa42825a14651,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00553,image-quality,S1,0.1,"[[""direct-0""]]","[[""direct-0""]]","[""direct-0""]","[""direct-0""]","[""direct-0""]","[""direct-0""]",True,True,True,True,1.0,0.1,1.0,0.1,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9f706d4c9b609d1a10899d7813036cb4a22ae9a056ef95f0fa58a798d145c462,d38c095dc13c1a6ece7d1603ba03c11a8aaeb7a8dca8beef902e956403a79d4f,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00553,image-quality,S1,0.8,"[[""direct-0""]]","[[""direct-0""]]","[""direct-0""]","[""direct-0""]","[""direct-0""]","[""direct-0""]",True,True,True,True,1.0,0.8,1.0,0.8,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9f706d4c9b609d1a10899d7813036cb4a22ae9a056ef95f0fa58a798d145c462,299bd425573e90833ccbf4bdedfb1317b55f52075dd49a52e7991b80150775e9,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00553,image-quality,S1,1.0,"[[""direct-0""]]","[[""direct-0""]]","[""direct-0""]","[""direct-0""]","[""direct-0""]","[""direct-0""]",True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9f706d4c9b609d1a10899d7813036cb4a22ae9a056ef95f0fa58a798d145c462,630b39b20b36db8fb4df2a3f73819dea2549acae90effe9b1a10792cc0760190,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00553,image-quality,S1,1.2,"[[""direct-0""]]","[[""direct-0""]]","[""direct-0""]","[""direct-0""]","[""direct-0""]","[""direct-0""]",True,True,True,True,1.0,1.2,1.0,1.2,1.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9f706d4c9b609d1a10899d7813036cb4a22ae9a056ef95f0fa58a798d145c462,e6fb5e116fd6883a4cbf2ac703e3a9b248add859b34e5b6f21be7ecf9e68dc6d,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00553,image-quality,S1,10.0,"[[""direct-0""]]","[[""direct-0""]]","[""direct-0""]","[""direct-0""]","[""direct-0""]","[""direct-0""]",True,True,True,True,1.0,10.0,1.0,10.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9f706d4c9b609d1a10899d7813036cb4a22ae9a056ef95f0fa58a798d145c462,b1157fbf9c5b87032d50325edd54254c345be59907834373de02b21a9d007eee,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00553,image-quality,S1,100.0,"[[""direct-0""]]","[[""direct-0""]]","[""direct-0""]","[""direct-0""]","[""direct-0""]","[""direct-0""]",True,True,True,True,1.0,100.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9f706d4c9b609d1a10899d7813036cb4a22ae9a056ef95f0fa58a798d145c462,ad8945fd8b21b7966608b853b4f182ee471b6d91d8947fbf78e7712211ff215e,True,True,True,True,True,True
h10-c3:protocol_validation:image-quality:00554,image-quality,S2,0.01,"[[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]]","[[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]","[""direct-0"", ""direct-1"", ""direct-2"", ""direct-3""]",True,True,True,True,4.3,0.043,4.3,0.043,4.3,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8ed527294b6cb3a87130662de10132642666f512c8b2a6b35693d1fac7e5cd51,a37663f25dac03cd23e40ea58ff73a460ae07e62a714aeb0755064b05bf7d852,True,True,True,True,True,True
